1.548,0.384	74.898,0.048	0.432,12.615
45.851,0.193	45.851,4.184	0.251,110.120	6.284,110.120
50.955,0.332	0.189,361.543
1.977,0.244	82.489,0.003	0.036,21.103
1.196,7.873	90.082,0.322	90.082,13.542	0.015,330.992
56.994,0.456	0.051,99.223
1.052,2.152	51.073,0.036	0.125,192.449
224.608,0.012
123.946,0.093	0.300,71.875	5.017,71.875
1.883,0.706	109.389,0.051	0.052,61.756
52.961,0.032	52.961,2.051	0.009,164.183
0.436,0.193	27.473,0.193	0.006,18.236
0.889,1.681	33.150,0.029	0.020,54.491
1.041,0.457	79.831,0.018	0.018,32.738
0.340,0.295	27.666,0.004
7.012,0.055	112.646,0.055	2.129,100.138
85.566,0.226	85.566,7.978	0.015,626.062
4.012,7.109	76.284,0.257	0.051,97.557
109.531,0.749	2.311,82.125
143.128,0.095	0.476,168.058
1.209,0.547	52.964,0.007	1.209,25.903
2.596,1.332	244.477,0.024	0.089,81.232
7.016,3.086	466.218,0.091	0.255,97.476
1.651,3.508	76.177,0.463	0.017,182.256
