Phase,Count,Frequency
0133-0303-3003-3030,2,2e-4
0133-0303-3003-3030-3033,1,1e-4
0133-0303-3030,16,0.0016
0133-0303-3030-3032,1,1e-4
0133-0303-3030-3033,1,1e-4
0133-0303-3030-3100-3300,1,1e-4
0133-0303-3030-3300,2,2e-4
0133-0303-3030-3300-3303,1,1e-4
0133-0303-3030-3330,1,1e-4
0133-0303-3031,2,2e-4
0133-0313-0330-3030,1,1e-4
0133-3030,2,2e-4
0203-0213-0303-3003-3013-3030,1,1e-4
0203-0303-1013-3030,1,1e-4
0203-0303-3000-3030,1,1e-4
0203-0303-3002-3030,1,1e-4
0203-0303-3012-3030-3032,1,1e-4
0203-0303-3030,5,5e-4
0203-3000-3003-3030,1,1e-4
0203-3000-3030,1,1e-4
0203-3001-3030,1,1e-4
0203-3030,4,4e-4
0220-0230-0303-3030,1,1e-4
0223-0303-3030,3,3e-4
0223-0303-3030-3300,1,1e-4
0230-0231-0303-3030,2,2e-4
0230-0231-0303-3030-3031,1,1e-4
0230-0231-0303-3030-3300,1,1e-4
0230-0232-0303-0330-1030-3030,1,1e-4
0230-0232-0303-3030,1,1e-4
0230-0233-0303-0320-3030,1,1e-4
0230-0233-0303-1033-3030,1,1e-4
0230-0233-0303-3030,4,4e-4
