3.090,3.558	154.306,0.046	0.041,112.617
0.299,0.901
200.531,0.085	0.053,111.529
0.385,2.136	0.011,209.121
1.854,2.241	116.379,0.023	0.020,216.081
5.662,0.356	100.574,0.010
0.238,1.842	0.019,54.070
5.573,2.326	140.745,0.032	0.184,95.376
14.265,9.802	591.755,0.215	0.299,111.121
2.340,3.511	98.645,0.042	0.031,170.977
8.247,0.368	369.710,0.007
3.959,1.869	161.681,0.041	0.061,76.306
165.823,0.138	0.033,238.449
0.723,1.224	69.123,0.136	0.010,119.264
445.421,0.560	0.103,756.522
158.189,0.018	0.027,1.656	0.027,116.698
1.489,0.957	65.388,0.041	0.026,63.138
10.979,0.077	204.168,0.077
1.230,3.400	110.038,0.105	0.028,35.882
1.842,0.045	54.615,0.001
453.862,0.051	0.175,2.641	0.175,106.647
7.578,4.431	92.354,0.210	0.155,406.615
11.135,0.928	461.852,0.012	0.129,81.374
0.258,0.726	20.080,0.726	0.005,20.309
0.210,0.159	18.975,0.002
7.626,0.403	147.320,0.009	0.818,39.539
277.729,0.005
1.522,0.110	127.340,0.001
0.480,0.633	0.013,42.866
0.331,0.755	0.014,28.262
1.606,0.668	91.398,0.060	0.016,38.104
1.519,5.661	92.835,0.193	0.017,361.457
3.891,1.668	123.031,0.041
0.299,0.794	0.005,40.267
1.902,0.190	103.341,0.004
6.517,0.548	198.209,0.022	0.267,38.266
7.224,0.822	44.289,0.013	1.572,60.234
0.115,2.018	0.002,192.826
1.713,1.569	104.185,0.023	0.020,149.071
0.787,5.357	56.106,0.117	0.008,356.255
1.118,2.142	0.013,90.692
173.098,0.006	0.552,36.442
1.039,0.478	94.260,0.008	0.011,42.123
18.495,0.028	130.872,0.028	18.495,2.556	130.872,2.556
0.413,10.452	4.693,0.390	0.007,96.248
229.308,1.045	229.308,13.029
153.349,1.096	1.441,422.390
347.651,0.014	1.347,46.770
7.146,0.147	157.900,0.003
1.378,1.557	0.022,134.946
1.663,1.924	134.900,0.043	0.018,86.058
169.152,0.035	1.554,100.008
2.371,0.389	91.083,0.014	2.371,17.384
3.133,2.086	212.644,0.107	0.046,78.592
284.399,0.239	0.211,441.662
1.874,2.345	181.344,0.187	0.022,192.188
3.105,0.175	98.708,0.004
93.429,0.266	0.017,145.090	1.665,145.090
0.736,1.663	69.459,0.190
1.233,0.521	108.786,0.029	0.233,44.755
0.858,1.280	61.967,0.131	0.019,74.825
2.290,1.778	151.577,0.019	0.107,62.583
7.055,2.812	15.037,2.812	0.389,128.963
0.830,2.258	64.854,0.031	0.017,224.230
0.888,3.201	51.100,0.040	0.016,162.246
395.391,0.028	0.096,133.665	6.747,133.665
187.052,0.222	0.439,118.140	9.913,118.140
