171.387,0.701	0.050,61.521
1.907,20.733	185.535,1.352
0.014,1.938
162.177,7.654	0.046,458.410	2.969,458.410
15.684,0.204	279.520,0.204
0.244,26.879	19.163,1.370
50.393,0.558	0.008,45.660
140.888,0.402
1.057,43.869	88.065,0.705
8.751,0.640	212.050,0.640
151.663,1.274	0.174,89.932
86.304,0.603	0.024,56.545	1.696,56.545
195.513,5.571	0.141,339.728
84.390,1.388	0.092,91.874
39.548,2.786	0.008,101.795
1.524,23.268	108.950,0.740
129.586,1.141	0.040,59.290
79.256,4.773	0.064,64.858	1.644,64.858
101.307,9.054	0.074,95.310	1.906,95.310
0.014,192.367
50.479,1.977	0.033,89.780
95.129,0.528	0.044,19.935
174.015,1.693	0.059,119.377
106.830,32.102	0.032,437.931
59.418,0.278
5.984,65.287	99.610,0.678
0.004,97.305
468.732,2.461	0.466,88.333
49.606,1.374	0.013,112.694
168.719,3.261	0.067,184.269
84.503,10.388	0.024,747.309
91.194,1.900
41.736,0.362	0.036,34.265
46.965,3.244	0.009,205.230
70.906,8.612	0.012,613.844
0.002,151.172
0.014,54.959
237.208,5.739	0.601,289.786
87.387,7.095	0.048,460.956
125.939,2.893	0.036,82.512
143.582,2.434	0.136,129.016
41.454,2.303	0.033,115.301	2.174,115.301
68.695,3.063	0.011,87.540
130.535,2.432	0.019,110.505
1.285,4.387	57.282,4.387	0.018,306.122
100.868,2.435	0.044,186.331
3.235,41.768	227.314,2.180
43.431,1.038	0.025,56.332
208.304,4.969	0.125,16.455
5.627,2.856	183.404,2.856	0.163,181.383
64.186,1.671	0.040,78.729
440.276,0.829
0.005,99.276
121.854,7.740	0.036,143.782
103.319,4.694	0.050,117.327	4.004,117.327
349.859,2.064	0.045,130.772
3.497,17.534	56.757,0.319
106.734,2.626	0.050,87.906
0.011,157.838
0.010,164.703
176.133,1.038	0.025,61.103
217.603,4.765	0.045,235.502
100.600,0.611	0.199,52.786
112.940,0.587	0.025,37.579
120.079,1.017	0.108,90.697
0.318,58.585
15.664,1.613	118.460,1.613	0.942,83.206
144.069,10.566	3.196,323.477
0.005,117.212
57.318,0.609	0.035,51.558
1.018,12.835	41.635,0.202
220.858,1.686	0.231,167.371
5.866,51.745	422.176,0.714
0.387,33.740
71.732,0.761	0.455,34.523
39.486,2.323	0.392,126.952
167.908,12.575	0.133,830.337
97.646,54.338	0.020,347.809
274.418,0.227	0.073,11.677
35.884,1.542	0.178,106.717
94.302,4.624	0.169,143.675
