ParIndex,GRHL2,ZEB,miR200,SLUG,Count
176,86.985,0.014,3.295,73.68,1
177,21.34,0.003,405.108,0.839,3
178,1.684,6.762,0.914,0.345,1
178,1.684,477.522,0.016,32.025,1
178,89.6,0,56.136,0.345,1
178,89.6,0.236,0.953,32.025,1
179,2.672,963.752,0.018,224.729,1
179,97.113,0,46.52,2.287,1
179,97.113,0.008,0.526,224.729,1
180,0.66,44.526,2.374,79.507,2
180,55.939,0.001,12.581,23.673,1
180,55.939,0.019,12.562,79.507,1
181,1.693,88.634,0.859,0.705,1
181,58.03,0.003,56.857,0.705,1
182,1.709,140.039,0.031,92.404,1
182,160.262,0,170.965,1.42,1
182,160.262,0.001,2.775,92.404,1
183,0.744,2903.071,0.064,122.025,2
183,0.767,3.806,5.648,2.016,1
183,39.717,0.002,32.868,2.016,1
184,68.516,0,57.302,0.042,1
185,1.872,1512.624,0.111,160.073,1
185,90.051,0.001,96.88,2.12,1
185,90.051,0.112,3.212,160.073,1
186,2.406,162.356,0.567,0.723,2
186,156.421,0.019,38.15,0.723,1
187,0.546,890.973,0.253,134.059,1
187,45.602,0.427,1.568,134.059,1
187,45.625,0.001,126.924,4.029,1
188,4.926,11.615,0.289,3.089,1
188,4.926,865.667,0.01,75.53,1
188,8.078,0.003,22.861,3.089,1
189,0.43,2948.938,0.234,60.962,1
189,31.534,0.02,107.505,0.836,1
190,278.72,0,19.677,0.204,1
191,0.765,16.902,0.01,12.472,1
191,0.765,1069.808,0.009,722.643,2
191,51.196,0.002,0.26,12.472,2
192,6.243,29.419,0.403,4.851,1
192,6.243,780.006,0.027,106.548,1
192,400.22,0,18.191,4.851,1
192,400.22,0.251,1.241,106.548,1
193,0.519,111.165,0.539,1.654,1
193,15.382,0.218,39.421,1.654,1
194,1.437,68.185,1.135,1.409,1
194,1.437,1148.141,0.016,132.293,1
194,126.533,0.004,59.857,1.409,1
195,8.961,44.29,0.001,322.934,1
195,124.373,0.775,0.121,322.934,1
195,124.523,0,7.968,5.432,1
196,6.546,15.538,1.565,0.479,1
196,205.302,0.003,148.464,0.479,1
197,2.679,199.338,0.044,63.66,1
197,79.661,0,203.818,0.725,1
197,79.661,0.004,3.055,63.66,1
198,0.516,9.545,1.228,2.839,2
198,22.346,0.005,99.038,2.839,1
199,5.57,311.541,0.151,325.3,2
199,474.773,0.002,184.696,4.341,1
200,1.365,354.689,0.078,122.798,1
200,1.377,7.523,3.769,1.945,1
200,110.275,0,211.776,1.945,1
200,110.275,0.037,4.48,122.798,1
201,115.004,0.007,189.77,0.471,4
202,1.13,767.518,0.221,722.831,1
203,0.661,487.825,0.088,200.696,1
203,48.229,0.004,3.289,200.696,1
204,2.078,1516.83,0.081,254.551,1
204,5.931,0.242,4.362,254.551,1
204,109.231,0,123.791,3.574,1
204,109.231,0.018,4.362,254.551,1
205,9.034,212.39,0.022,81.698,1
205,429.654,0,37.984,1.991,1
205,429.654,0.001,0.764,81.698,1
206,0.214,4.613,0.846,6.636,1
206,0.214,565.092,0.053,213.926,1
206,14.236,0.309,3.315,213.926,1
206,14.251,0.236,52.544,6.636,1
207,4.853,30.931,31.256,107.715,1
207,119.459,0,173.689,21.498,1
207,119.459,0.028,99.003,107.715,1
208,0.99,48.627,0.679,3.395,1
208,70.564,0.007,62.234,3.395,1
209,366.381,0,210.05,1.354,1
209,366.381,0.001,6.186,98.942,1
210,0.262,129.457,2.08,3.815,1
210,0.262,1213.167,0.056,90.97,2
210,14.244,0.025,53.097,3.815,1
211,1.999,875.14,0.73,282.49,1
211,9.918,0.022,335.712,6.316,1
211,9.918,0.127,58.407,282.49,1
212,1.375,53.15,41.258,26.519,1
212,121.76,0,76.796,0.946,1
212,121.76,0.023,65.91,26.519,1
213,0.161,378.351,0.2,128.467,1
213,4.705,0.021,620.059,1.545,1
214,2.974,239.182,0.463,23.034,1
214,7.948,2.895,0.468,0.37,1
214,101.217,0,46.106,0.37,1
214,101.217,0.001,45.674,23.034,1
215,2.089,7.864,0.121,6.948,1
215,101.985,0,5.218,6.948,1
215,101.985,0,36.456,0.087,2
216,0.309,12.932,1.86,3.847,1
216,0.309,839.119,0.072,146.855,1
216,16.802,0,84.039,3.847,1
216,16.802,0.058,3.26,146.855,1
217,1.763,259.882,0.042,285.273,2
218,56.943,0,396.122,0.4,1
219,0.082,8.126,0.021,4.25,1
219,0.082,263.951,0.021,371.017,1
219,6.081,0.084,0.582,4.25,1
220,1.904,238.102,0.435,0.979,1
220,1.904,799.076,0.144,27.677,2
220,1.905,0.978,38.56,0.979,1
220,50.899,0.2,12.869,27.677,1
220,50.906,0.059,38.855,0.979,1
221,1.867,372.168,0.082,306.815,1
221,92.838,0.083,2.406,306.815,1
222,4.845,68.382,0.185,7.56,1
222,4.845,6476.873,0.185,111.624,1
222,88.987,1.067,9.699,111.624,1
222,89.148,0,9.708,7.56,1
222,89.148,0.012,9.708,111.624,1
223,9.52,708.949,0.037,96.68,1
223,191.884,0,23.762,1.598,1
224,1.519,24.282,0.08,162.353,1
224,57.069,1.648,0.08,162.353,1
224,57.115,0.068,1.733,162.353,1
225,4.376,70.123,27.545,1.4,1
225,4.376,3363.304,0.474,133.158,1
225,333.831,0.266,27.546,1.4,2
226,19.113,20.11,0.153,103.029,1
226,504.85,0,47.304,17.333,1
226,504.85,0.272,3.697,103.029,1
227,0.25,0.597,12.71,127.071,1
227,0.25,126.637,2.855,2.085,1
227,0.25,751.016,0.201,127.071,1
