parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1791,2,01-20,01,01-20,2,0.584,-4.358939,7.108663,0.584
1792,2,01-20,20,01-20,2,0.529,7.230702,-0.019235,0.529
1792,2,01-20,01,01-20,2,0.471,-3.843338,5.188157,0.471
1793,2,01-20,20,01-20,2,0.897,8.770257,-0.268962,0.897
1793,2,01-20,01,01-20,2,0.103,-2.710854,6.083305,0.103
1794,3,01-11-20,01,01-11-20,3,0.438,-6.208318,5.778921,0.438
1794,3,01-11-20,11,01-11-20,3,0.418,0.390696,5.778921,0.418
1794,3,01-11-20,20,01-11-20,3,0.144,6.144333,1.243469,0.144
1795,1,20,20,20,1,1,8.22207,-0.448125,1
1796,2,01-20,20,01-20,2,0.61,5.742075,2.30191,0.61
1796,2,01-20,01,01-20,2,0.39,-3.127076,6.482157,0.39
1797,1,01,01,01,1,1,-3.826079,6.27303,1
1798,2,01-20,20,01-20,2,0.082,6.761519,1.476372,0.082
1798,2,01-20,01,01-20,2,0.918,-4.720891,5.653393,0.918
1799,3,01-11-20,20,01-11-20,3,0.48,6.471211,-1.836584,0.48
1799,3,01-11-20,01,01-11-20,3,0.422,-6.285055,4.704247,0.422
1799,3,01-11-20,11,01-11-20,3,0.098,0.294149,4.704247,0.098
1800,2,01-20,01,01-20,2,0.433,-2.164108,5.304921,0.433
1800,2,01-20,20,01-20,2,0.567,6.898286,-1.191928,0.567
1801,2,01-20,01,01-10-20,2,0.457,-2.60189,5.19574,0.457
1801,2,01-20,20,01-10-20,2,0.543,5.759512,-0.659547,0.543
1802,2,01-20,20,01-20,2,0.426,7.01912,0.247391,0.426
1802,2,01-20,01,01-20,2,0.574,-4.941833,6.794007,0.574
1803,2,01-20,01,01-20,2,0.316,-3.494213,6.344516,0.316
