parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
9155,3,0202-1002-2020,0202,0202-1002-2020,3,0.26,-5.049357,5.110522,-8.589371,3.859014,0.26
9155,3,0202-1002-2020,2020,0202-1002-2020,3,0.71,7.168496,-4.899571,3.761578,-7.730462,0.71
9155,3,0202-1002-2020,1002,0202-1002-2020,3,0.03,1.237369,-0.83404,-2.141901,3.858895,0.03
9156,2,0202-2020,0202,0202-2020,2,0.02,-4.052308,3.003225,-3.909715,3.810278,0.02
9156,2,0202-2020,2020,0202-2020,2,0.98,6.763668,-9.569704,6.484677,-8.214662,0.98
9157,2,0202-2020,0202,0202-2020,2,0.97,-8.272672,6.683141,-5.195014,7.951644,0.97
9157,2,0202-2020,2020,0202-2020,2,0.03,3.674072,-1.936579,7.691063,-2.681692,0.03
9158,2,0202-2020,2020,0202-2020,2,0.1,6.554362,-3.686996,5.577258,-4.696786,0.1
9158,2,0202-2020,0202,0202-2020,2,0.9,-4.302745,6.900529,-7.319976,7.28666,0.9
9159,3,0202-2012-2020,2012,0202-2012-2020,3,0.09,4.375038,-3.446685,1.439792,2.360834,0.09
9159,3,0202-2012-2020,0202,0202-2012-2020,3,0.6,-1.805563,8.194155,-5.048476,5.514099,0.6
9159,3,0202-2012-2020,2020,0202-2012-2020,3,0.31,9.010119,-3.539354,6.890381,-4.279451,0.31
9160,1,0112,0112,0112,1,1,-8.903724,1.07738,0.075183,3.028129,1
9161,3,0202-2012-2020,0202,0202-2012-2020,3,0.06,-0.222684,6.234495,-5.525101,7.442662,0.06
9161,3,0202-2012-2020,2012,0202-2012-2020,3,0.3,2.029232,-5.490293,1.032538,3.665976,0.3
9161,3,0202-2012-2020,2020,0202-2012-2020,3,0.64,7.695807,-5.490293,6.768737,-4.012145,0.64
9162,2,0202-2020,2020,0202-2020,2,0.72,5.890914,-6.236293,6.299323,-6.636071,0.72
9162,2,0202-2020,0202,0202-2020,2,0.28,-6.602038,6.385692,-3.130807,3.734543,0.28
9163,4,0202-2001-2011-2020,2020,0202-2020,4,0.31,8.546283,-1.518893,7.147034,-4.26191,0.31
9163,4,0202-2001-2011-2020,2011,0202-2020,4,0.09,8.546283,0.613168,0.85132,-1.073525,0.09
9163,4,0202-2001-2011-2020,0202,0202-2020,4,0.35,-4.651191,7.490373,-4.315899,5.983321,0.35
9163,4,0202-2001-2011-2020,2001,0202-2020,4,0.25,8.532381,1.016799,0.157395,0.789703,0.25
9164,2,0202-2020,2020,0202-0220-2020,2,0.14,3.372536,-5.716253,7.25228,-5.295106,0.14
9164,2,0202-2020,0202,0202-0220-2020,2,0.86,-7.513302,7.198298,-5.527094,6.250124,0.86
9165,1,2020,2020,-1,1,1,7.287388,-8.279395,6.668533,-2.512236,1
9166,4,0202-2020-2100-2200,2020,0202-2020-2100,4,0.03,6.835933,-5.012879,3.899178,-6.978781,0.03
9166,4,0202-2020-2100-2200,0202,0202-2020-2100,4,0.29,-3.818557,6.725582,-6.767913,3.104991,0.29
9166,4,0202-2020-2100-2200,2100,0202-2020-2100,4,0.38,6.463873,0.727292,-1.348474,-2.942375,0.38
9166,4,0202-2020-2100-2200,2200,0202-2020-2100,4,0.3,1.787249,5.351905,-1.348474,-2.644072,0.3
9167,3,0202-0220-2020,0202,0202-0220-2020,3,0.28,-4.956422,7.212552,-4.145631,4.564361,0.28
9167,3,0202-0220-2020,0220,0202-0220-2020,3,0.27,0.930665,1.897795,1.000485,-1.855514,0.27
9167,3,0202-0220-2020,2020,0202-0220-2020,3,0.45,7.434898,-3.897735,7.028169,-7.364558,0.45
9168,1,2020,2020,2020,1,1,7.823292,-8.150191,4.531529,-4.7846,1
9169,1,2020,2020,2020,1,1,6.877176,-9.722697,9.124748,-7.861838,1
9170,2,0202-2020,0202,0202-2020,2,0.71,-7.218441,6.782155,-3.265759,5.676819,0.71
9170,2,0202-2020,2020,0202-2020,2,0.29,4.214702,-2.720729,8.418998,-4.138807,0.29
9171,2,0202-2020,2020,0202-2020,2,0.1,6.587717,-4.267265,6.728603,-5.08161,0.1
9171,2,0202-2020,0202,0202-2020,2,0.9,-4.448098,8.64436,-5.084549,7.369927,0.9
9172,1,2020,2020,0202-2020,1,1,8.161734,-5.283752,6.562145,-6.283404,1
9173,3,0202-2012-2020,2012,0202-2012-2020,3,0.24,2.096743,-3.622821,0.964017,1.780719,0.24
9173,3,0202-2012-2020,0202,0202-2012-2020,3,0.6,-3.521886,9.134276,-5.416055,8.153706,0.6
9173,3,0202-2012-2020,2020,0202-2012-2020,3,0.16,7.15307,-3.622822,4.078686,-4.845752,0.16
9174,1,0202,0202,0202,1,1,-5.536176,6.985113,-3.834364,6.670295,1
9175,3,0202-2002-2020,2002,0202-2002-2020,3,0.41,-1.191793,0.201253,-2.873284,1.754925,0.41
9175,3,0202-2002-2020,2020,0202-2002-2020,3,0.32,4.899313,-5.16543,3.223353,-3.754417,0.32
9175,3,0202-2002-2020,0202,0202-2002-2020,3,0.27,-7.418649,6.114202,-7.394752,6.772893,0.27
