parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2115,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.18,5.676317,-12.532322,6.729159,1.609599,0.18
2115,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.25,2.201229,4.560232,0.611526,1.609597,0.25
2115,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.25,5.676317,-1.650343,0.273611,6.734199,0.25
2115,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.32,2.201229,10.708771,-5.844022,6.734199,0.32
2116,3,0303-1010-1013,1010,0303-1010-1013,3,0.97,6.68922,-15.114873,7.678403,-0.256535,0.97
2116,3,0303-1010-1013,1013,0303-1010-1013,3,0.02,6.68922,-8.746482,2.044214,5.903459,0.02
2116,3,0303-1010-1013,0303,0303-1010-1013,3,0.01,0.687381,9.909128,-2.84742,5.903459,0.01
2117,3,1010-1013-1303,1013,1010-1013-1303,3,0.01,5.774244,-3.229603,3.413129,5.472508,0.01
2117,3,1010-1013-1303,1303,1010-1013-1303,3,0.04,4.190746,7.064985,-1.16849,5.472508,0.04
2117,3,1010-1013-1303,1010,1010-1013-1303,3,0.95,5.774244,-8.003472,8.565158,1.885306,0.95
2118,2,1010-1303,1010,1010-1303,2,0.74,7.971701,-7.279855,6.574819,0.588948,0.74
2118,2,1010-1303,1303,1010-1303,2,0.26,4.269568,4.504944,-4.211347,5.688992,0.26
2119,1,0303,0303,0303,1,1,1.522952,11.957976,-5.421295,9.358755,1
2120,1,1010,1010,1010,1,1,4.301432,-13.13624,6.752847,-2.445423,1
2121,3,0303-0310-1010,1010,0303-1010,3,0.29,6.061186,-7.342276,5.07153,1.617793,0.29
2121,3,0303-0310-1010,0303,0303-1010,3,0.24,-0.356795,10.252601,-5.850139,5.943246,0.24
2121,3,0303-0310-1010,0310,0303-1010,3,0.47,-0.356796,0.19869,0.416847,1.617794,0.47
2122,1,1010,1010,1010,1,1,7.74338,-9.971376,7.88675,-2.431141,1
2123,4,0300-0303-1003-1010,1010,0300-0303-1003-1010,4,0.13,7.184738,-11.804823,2.368154,1.969962,0.13
2123,4,0300-0303-1003-1010,1003,0300-0303-1003-1010,4,0.31,7.184738,-1.245772,-3.293555,6.468902,0.31
2123,4,0300-0303-1003-1010,0303,0300-0303-1003-1010,4,0.47,0.657334,10.20098,-5.737809,6.468902,0.47
2123,4,0300-0303-1003-1010,0300,0300-0303-1003-1010,4,0.09,0.657335,3.5715,-0.0761,1.969962,0.09
2124,2,0303-1003,1003,0303-1003,2,0.51,7.000513,-2.13255,-0.453019,7.127272,0.51
2124,2,0303-1003,0303,0303-1003,2,0.49,0.825773,9.339605,-7.051932,7.127272,0.49
2125,3,0303-1010-1013,1010,0303-1010-1013,3,0.33,7.816091,-8.551731,7.75696,2.600663,0.33
2125,3,0303-1010-1013,1013,0303-1010-1013,3,0.27,7.816091,-2.595713,3.56153,8.34185,0.27
2125,3,0303-1010-1013,0303,0303-1010-1013,3,0.4,2.254488,10.855256,0.07983,8.34185,0.4
2126,3,1010-1013-1303,1010,1010-1013-1303,3,0.39,9.546876,-14.916337,6.921793,1.751815,0.39
2126,3,1010-1013-1303,1013,1010-1013-1303,3,0.39,9.546876,-10.426623,5.158385,7.851423,0.39
2126,3,1010-1013-1303,1303,1010-1013-1303,3,0.22,5.478657,2.245295,-1.363712,7.851423,0.22
2127,4,0211-0313-1011-1013,1011,0211-0313-1011-1013,4,0.2,9.006244,-11.18906,2.204941,2.086558,0.2
2127,4,0211-0313-1011-1013,1013,0211-0313-1011-1013,4,0.32,9.006244,-5.285081,2.204944,8.212233,0.32
2127,4,0211-0313-1011-1013,0211,0211-0313-1011-1013,4,0.04,3.24994,-1.393806,2.204944,2.086558,0.04
2127,4,0211-0313-1011-1013,0313,0211-0313-1011-1013,4,0.44,3.24994,4.567324,1.93298,8.212233,0.44
2128,2,0010-0300,0300,0010-0300,2,0.61,-2.44507,6.419275,-0.591985,-0.943686,0.61
2128,2,0010-0300,0010,0010-0300,2,0.39,2.306164,-4.128724,5.418074,-0.943686,0.39
2129,4,1003-1010-1300-1303,1300,1003-1010-1303,4,0.01,3.66618,0.426984,1.210198,1.054618,0.01
2129,4,1003-1010-1300-1303,1003,1003-1010-1303,4,0.48,6.554102,-3.156289,-2.336115,7.213099,0.48
2129,4,1003-1010-1300-1303,1303,1003-1010-1303,4,0.3,3.66618,4.075753,-5.392399,7.213099,0.3
2129,4,1003-1010-1300-1303,1010,1003-1010-1303,4,0.21,6.554102,-13.190706,4.266481,1.054618,0.21
2130,4,1011-1013-1303-1311,1011,1011-1013-1211-1213-1303,4,0.33,7.655788,-6.276948,6.578289,0.875696,0.33
2130,4,1011-1013-1303-1311,1303,1011-1013-1211-1213-1303,4,0.21,4.075774,8.902909,-5.468126,6.961386,0.21
2130,4,1011-1013-1303-1311,1013,1011-1013-1211-1213-1303,4,0.15,7.655788,-6.276948,0.245554,6.961386,0.15
2130,4,1011-1013-1303-1311,1311,1011-1013-1211-1213-1303,4,0.31,4.075774,4.596865,0.864612,0.875696,0.31
2131,3,0303-1003-1010,0303,0303-1003-1010,3,0.1,0.498105,9.734792,-4.854654,6.461762,0.1
2131,3,0303-1003-1010,1003,0303-1003-1010,3,0.12,6.753402,-3.115751,1.107885,6.461762,0.12
2131,3,0303-1003-1010,1010,0303-1003-1010,3,0.78,6.753402,-16.047809,7.57139,1.061571,0.78
2132,4,0113-0303-1010-1013,0113,0113-0303-1010-1013,4,0.05,1.156481,-2.073064,2.410933,9.288296,0.05
2132,4,0113-0303-1010-1013,1013,0113-0303-1010-1013,4,0.29,6.871631,-8.108919,2.410933,9.288296,0.29
2132,4,0113-0303-1010-1013,0303,0113-0303-1010-1013,4,0.29,1.156481,7.611266,-3.456351,9.288296,0.29
2132,4,0113-0303-1010-1013,1010,0113-0303-1010-1013,4,0.37,6.871631,-12.574751,8.659756,2.676112,0.37
2133,1,0303,0303,0303,1,1,-5.028442,12.194693,-2.491323,6.471202,1
2134,4,0301-0303-1011-1013,0301,0301-0303-1011-1013,4,0.01,-0.37921,7.060832,-1.799734,3.825928,0.01
2134,4,0301-0303-1011-1013,1011,0301-0303-1011-1013,4,0.01,5.842218,-7.834839,4.396426,3.825928,0.01
2134,4,0301-0303-1011-1013,1013,0301-0303-1011-1013,4,0.69,5.842218,-7.834839,2.177747,7.876469,0.69
2134,4,0301-0303-1011-1013,0303,0301-0303-1011-1013,4,0.29,-0.37921,7.060832,-4.018414,7.876469,0.29
2135,2,0303-1013,1013,0113-0303-1013,2,0.32,5.777221,-5.511423,1.614003,7.569092,0.32
2135,2,0303-1013,0303,0113-0303-1013,2,0.68,2.709916,11.998716,-4.501603,7.569092,0.68
2136,4,0300-0303-1010-1013,0300,0300-0303-1010-1013-1113,4,0.1,0.75653,2.910969,1.176857,2.428828,0.1
2136,4,0300-0303-1010-1013,1013,0300-0303-1010-1013-1113,4,0.16,6.892988,-5.349483,2.294862,9.015824,0.16
2136,4,0300-0303-1010-1013,0303,0300-0303-1010-1013-1113,4,0.39,0.75653,6.975719,-3.035429,9.015824,0.39
2136,4,0300-0303-1010-1013,1010,0300-0303-1010-1013-1113,4,0.35,6.892988,-9.414213,6.507149,2.428828,0.35
2137,2,0210-1010,0210,0210-1010,2,0.3,0.128663,-0.302587,6.680401,-3.829834,0.3
2137,2,0210-1010,1010,0210-1010,2,0.7,5.369838,-10.689236,6.680403,-3.829865,0.7
2138,3,0300-0303-1010,0303,0300-0303-1010,3,0.51,-0.195362,9.73928,-6.178796,7.23154,0.51
2138,3,0300-0303-1010,0300,0300-0303-1010,3,0.33,-0.195362,8.292836,-0.649977,1.458887,0.33
2138,3,0300-0303-1010,1010,0300-0303-1010,3,0.16,4.722048,-8.670735,5.859077,1.458887,0.16
2139,2,0303-1013,1013,0113-0303-1013,2,0.23,8.508159,-3.742178,1.03969,7.610996,0.23
2139,2,0303-1013,0303,0113-0303-1013,2,0.77,2.128142,10.32944,-5.052196,7.610996,0.77
