1.763,0.100	81.480,0.100	0.021,8.287
75.969,10.053	0.519,152.396
0.027,278.152	1.282,278.152
107.265,0.541	0.170,20.712
1.701,2.560	80.792,2.560	0.282,79.787
288.127,0.874	0.208,63.387
0.078,101.283	3.129,33.757
1.552,6.937	43.502,0.141
23.020,3.429	0.005,88.287
0.171,149.761	5.026,4.252
105.993,1.021
8.307,2.190	0.003,117.174
0.310,1.117	29.328,1.117	0.025,38.129
0.147,126.196	12.316,4.636
2.243,21.199	209.671,21.199	0.033,86.193
67.639,1.837	0.067,134.301
2.161,25.147	19.525,25.147
48.470,0.867	0.155,62.322	0.718,62.322
159.712,1.205	0.319,71.238
116.326,3.831	0.153,14.980
352.971,1.060	1.323,70.894
154.240,0.387	0.107,30.065
0.174,92.726
114.717,3.173	0.052,118.334
249.761,0.388	0.038,37.918
0.034,83.142
45.055,1.610	0.033,102.601
142.908,1.532	0.590,123.680
24.252,0.785	0.005,17.126
18.393,11.922	0.005,120.768
28.675,3.809	0.007,241.735
155.027,0.708	0.036,31.038	1.701,31.038
99.232,0.143	0.226,9.846
102.212,1.881	0.025,60.937
0.002,128.153
175.223,3.730	0.231,42.814
84.271,0.919	0.090,16.782
96.894,5.972	0.362,32.927
125.714,0.041	0.013,2.615
95.223,4.183	0.074,319.397	1.315,319.397
7.986,0.452	0.002,26.233
59.931,14.004	0.011,91.613
1.137,0.611	93.363,0.611	0.012,60.748
102.217,0.109
0.037,98.242
54.884,3.538	0.037,47.616
192.100,0.255	0.078,23.288	2.717,23.288
151.098,1.844	0.068,84.149
87.190,1.540	0.015,139.011	0.980,139.011
52.154,0.809	0.083,44.572
28.967,0.957	0.006,46.882
0.234,22.021	18.555,5.433
1.369,5.054	136.495,5.054	0.165,98.621
0.097,93.092	8.383,1.608
420.551,1.645
0.381,1.052	20.380,1.052	0.009,25.736
175.968,3.286	0.051,251.123
10.287,4.653	0.002,12.054
421.460,9.172	0.077,796.139
0.011,177.943
94.641,1.267	0.031,121.331
10.550,2.392	0.002,54.022
0.014,622.652
24.910,1.324	0.005,131.094
0.021,630.993	0.983,630.993
1.914,1.933	136.270,1.933	0.057,143.397
0.050,95.974
95.299,1.345	0.027,102.685	1.155,102.685
0.281,3.941	9.633,0.112
0.081,608.749	3.157,34.072
92.622,1.045	0.049,64.196
41.652,2.302	0.017,52.183	1.062,52.183
38.223,2.195	0.008,99.687
108.086,2.086	0.012,190.700
150.255,2.478	0.322,119.341
90.719,1.211	0.019,62.646
0.009,5.290
6.481,3.890	0.002,160.267
0.154,166.517	5.057,13.900
