109.930,1.446	109.930,9.135	0.038,423.444
4.108,0.022	237.358,0.022	0.141,116.714
199.251,0.005	0.029,33.479	2.388,33.479
31.181,0.116	0.034,114.308
1.815,1.351	42.552,0.064	0.028,107.628
398.778,0.254	0.093,766.960	4.371,766.960
32.106,0.109	0.005,124.900
0.046,0.579	0.001,46.337
4.295,2.322	143.922,0.024	0.135,96.314
1.520,0.236	92.654,0.013	0.134,18.899	8.170,18.899
5.160,0.164	348.418,0.003	0.099,15.019
52.354,253.056
92.147,0.365	0.026,481.765
0.032,481.236
60.558,0.024	0.075,1.084	0.075,82.594
2.627,2.168	16.325,0.151	0.041,201.019
0.642,2.407	58.138,0.143	0.019,194.361
5.187,0.027	52.661,0.027	5.187,1.370	52.661,1.370	0.054,42.118
0.371,1.805	32.058,0.021	0.005,136.037
2.627,0.495	236.871,0.010	0.283,35.485
2.253,1.062	141.228,0.016	0.219,104.955
0.993,3.308	93.876,0.045	0.018,52.473
3.921,0.024	112.827,0.024	0.403,75.369
235.100,0.088	0.140,93.432	2.643,93.432
134.861,0.016	3.280,123.808
0.905,3.142	66.359,0.040	0.011,99.088
120.421,0.163	0.258,318.552	14.517,6.457
0.012,186.299
1.727,0.617	70.652,0.020	0.023,54.683
0.071,1.187	0.001,69.744
8.890,0.012	628.046,0.012	0.151,43.318
64.355,0.002
0.124,670.945	8.839,670.945
0.842,2.820	57.749,0.409	0.018,105.690
2.217,1.558	187.830,0.270	0.043,81.403
2.145,1.147	206.410,0.012	0.034,84.373
1.047,0.350	87.951,0.004	0.113,15.427
1.487,0.947	27.723,0.099	0.015,62.574
14.390,0.073	0.002,7.079	0.002,105.040
4.415,0.514	397.417,0.008	1.137,43.652
3.920,0.043	280.910,0.043	0.066,289.088
0.058,8.457	0.002,193.019
1.588,0.398	142.225,0.038	0.039,34.837
0.796,0.610	62.315,0.008	0.011,42.476
312.383,0.001
7.114,0.061	177.757,0.061	0.078,104.716
6.198,0.010	147.270,0.010	0.090,42.218
368.079,0.019	0.064,33.359
1.929,1.822	34.257,0.022	0.029,168.176
5.724,0.385	94.446,0.385	5.724,12.700	94.446,12.700	0.059,84.345
1.246,1.770	89.278,0.031	0.019,102.705
1.309,2.054	129.470,0.028	0.018,165.564
2.372,0.024	64.761,0.024	0.031,1.060	0.031,98.104
4.394,1.794	100.758,0.034	0.060,143.128
0.878,0.029	51.826,0.029	0.010,254.600
