parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
5770,2,0303-3030,0303,0003-0030-0303-3000-3030-3130,2,0.857,-11.285846,8.206639,-12.480059,9.171317,0.857
5770,2,0303-3030,3030,0003-0030-0303-3000-3030-3130,2,0.143,7.737455,-4.683724,6.565162,-7.346543,0.143
5771,1,0330,0330,0320-0330-3020-3030-3120-3130,1,1,-8.862955,6.634783,5.386872,-9.79783,1
5772,2,0303-3030,0303,0130-0300-0303-0320-2300-2320-3030,2,0.4,-10.686729,8.707029,-3.747659,5.605159,0.4
5772,2,0303-3030,3030,0130-0300-0303-0320-2300-2320-3030,2,0.6,7.486749,-4.205218,7.117276,-10.20047,0.6
5773,2,0303-3030,0303,0003-0300-0303-3000-3030,2,0.442,-6.384005,3.626215,-10.235339,6.430491,0.442
5773,2,0303-3030,3030,0003-0300-0303-3000-3030,2,0.558,6.854769,-13.430863,6.645378,-6.256488,0.558
5774,2,0303-3030,3030,0020-0030-0100-0103-0300-0303-3020-3030,2,0.615,6.817816,-10.379682,5.884336,-10.405491,0.615
5774,2,0303-3030,0303,0020-0030-0100-0103-0300-0303-3020-3030,2,0.385,-8.520507,4.580575,-8.535794,5.810662,0.385
5775,3,0303-1030-3030,3030,0003-0013-0303-1030-3030,3,0.189,5.525845,-12.684074,6.635444,-7.793239,0.189
5775,3,0303-1030-3030,1030,0003-0013-0303-1030-3030,3,0.314,-0.934688,-10.001455,6.631045,-2.047037,0.314
5775,3,0303-1030-3030,0303,0003-0013-0303-1030-3030,3,0.497,-10.148222,4.625348,-8.417641,8.345501,0.497
5776,3,0033-0303-3030,0033,0033-0203-0303-1033-3030,3,0.481,-4.302364,-3.879407,3.50302,5.633371,0.481
5776,3,0033-0303-3030,3030,0033-0203-0303-1033-3030,3,0.195,5.214915,-9.039543,7.212506,-3.92411,0.195
5776,3,0033-0303-3030,0303,0033-0203-0303-1033-3030,3,0.324,-9.130604,5.100037,-7.489778,9.443649,0.324
5777,2,0303-3030,0303,0303-3000-3003-3030,2,0.607,-7.739979,7.274078,-9.983178,8.713333,0.607
5777,2,0303-3030,3030,0303-3000-3003-3030,2,0.393,6.890624,-5.865731,5.99298,-7.382302,0.393
5778,2,0303-3030,0303,0300-0303-2300-3030,2,0.119,-10.573737,5.965022,-5.602767,6.282723,0.119
5778,2,0303-3030,3030,0300-0303-2300-3030,2,0.881,7.906426,-9.91205,8.689028,-12.10176,0.881
5779,2,0303-3030,3030,0003-0300-0303-0320-1003-1300-1320-3030,2,0.991,6.927125,-13.618478,8.562963,-11.985123,0.991
5779,2,0303-3030,0303,0003-0300-0303-0320-1003-1300-1320-3030,2,0.009,-10.718151,3.167171,-4.741666,5.372107,0.009
5780,1,0303,0303,0301-0303-3000,1,1,-8.379884,5.625535,-17.64771,6.058061,1
5781,3,0303-0313-3030,0303,0023-0303-0313-0330-3030,3,0.024,-8.613553,9.090294,-6.928289,6.093228,0.024
5781,3,0303-0313-3030,0313,0023-0303-0313-0330-3030,3,0.123,-8.610687,8.231731,-0.411769,6.057355,0.123
5781,3,0303-0313-3030,3030,0023-0303-0313-0330-3030,3,0.853,7.402571,-8.807002,6.760171,-9.800401,0.853
5782,3,0033-0303-3030,0303,0000-0003-0030-0033-0300-0303-3000-3030,3,0.46,-4.94468,7.571355,-8.393932,6.656032,0.46
5782,3,0033-0303-3030,0033,0000-0003-0030-0033-0300-0303-3000-3030,3,0.04,-1.757752,-1.276561,3.199459,5.034452,0.04
5782,3,0033-0303-3030,3030,0000-0003-0030-0033-0300-0303-3000-3030,3,0.5,5.083848,-9.703009,6.344863,-7.062666,0.5
5783,4,0303-3001-3003-3030,3003,0003-0303-3001-3003-3030,4,0.3,2.247295,-1.822659,-7.790415,6.110832,0.3
5783,4,0303-3001-3003-3030,3030,0003-0303-3001-3003-3030,4,0.036,8.4932,-9.394054,3.753931,-5.737989,0.036
5783,4,0303-3001-3003-3030,3001,0003-0303-3001-3003-3030,4,0.23,7.751651,-6.147187,-7.522962,-0.442121,0.23
5783,4,0303-3001-3003-3030,0303,0003-0303-3001-3003-3030,4,0.434,-7.266765,6.497473,-8.680075,7.956852,0.434
